Nro.,SEDE DEPARTAMENTAL,SUBSEDE DEPARTAMENTAL,PERSONAL A CONTRATAR,PERSONAL A CAPACITAR
11,ANCASH - CHIMBOTE,"SANTA 2: (PROVINCIA SANTA: SANTA, COISHCO )",30,39
12,ANCASH - CHIMBOTE,"SANTA 3: (PROVINCIA SANTA: NUEVO CHIMBOTE, CACERES DEL PERU, MORO, NEPEÑA, SAMANCO)",176,229
13,ANCASH - HUARAZ,"HUARAZ: (PROVINCIA HUARAZ: HUARAZ, COCHABAMBA, COLCABAMBA, INDEPENDENCIA, JANGAS, LA LIBERTAD, OLLEROS, PAMPAS GRANDE, PARIACOTO, PIRA, TARICA)",160,208
14,ANCASH - HUARAZ,"ANTONIO RAYMONDI: (PROVINCIA ANTONIO RAYMONDI: LLAMELLIN, ACZO, CHACCHO, CHINGAS, MIRGAS, SAN JUAN DE RONTOY / PROVINCIA HUARI: HUACCHIS, PAUCAS, RAPAYAN, UCO )",30,39
15,ANCASH - HUARAZ,"BOLOGNESI: (PROVINCIA BOLOGNESI: CHIQUIAN, ABELARDO PARDO LEZAMETA, ANTONIO RAYMONDI, AQUIA, CAJACAY, CANIS, COLQUIOC, HUALLANCA, HUASTA, HUAYLLACAYAN, LA PRIMAVERA, MANGAS, PACLLON, SAN MIGUEL DE CORPANQUI, TICLLOS / PROVINCIA OCROS: OCROS, ACAS, CAJAMARQUILLA, CONGAS, LLIPA, SAN CRISTOBAL DE RAJAN, SAN PEDRO, SANTIAGO DE CHILCAS )",49,64
16,ANCASH - HUARAZ,"CARHUAZ: (PROVINCIA CARHUAZ: CARHUAZ, ACOPAMPA, AMASHCA, ANTA, ATAQUERO, MARCARA, PARIAHUANCA, SAN MIGUEL DE ACO, SHILLA, TINCO, YUNGAR / PROVINCIA ASUNCION: CHACAS, ACOCHACA / PROVINCIA CARLOS FERMIN FITZCARRALD: SAN LUIS, SAN NICOLAS, YAUYA)",102,133
17,ANCASH - HUARAZ,"HUARI: (PROVINCIA HUARI: SAN MARCOS, HUARI, ANRA, CAJAY, CHAVIN DE HUANTAR, HUACACHI, HUACHIS, HUANTAR, MASIN, PONTO, RAHUAPAMPA, SAN PEDRO DE CHANA )",70,91
18,ANCASH - HUARAZ,"HUAYLAS: (PROVINCIA HUAYLAS: CARAZ, HUALLANCA, HUATA, HUAYLAS, MATO, PAMPAROMAS, PUEBLO LIBRE, SANTA CRUZ, SANTO TORIBIO, YURACMARCA )",70,91
19,ANCASH - HUARAZ,"MARISCAL LUZURIAGA: (PROVINCIA MARISCAL LUZURIAGA: PISCOBAMBA, CASCA, ELEAZAR GUZMAN BARRON, FIDEL OLIVAS ESCUDERO, LLAMA, LLUMPA, LUCMA, MUSGA )",34,44
20,ANCASH - HUARAZ,"RECUAY: (PROVINCIA RECUAY: RECUAY, CATAC, COTAPARACO, HUAYLLAPAMPA, LLACLLIN, MARCA, PAMPAS CHICO, PARARIN, TAPACOCHA, TICAPAMPA / PROVINCIA AIJA: AIJA, CORIS, HUACLLAN, LA MERCED, SUCCHA)",36,47
